,id,Loai_cho,Chi_tiet,Gioi_tinh,Tuoi,vacxin
178,f41d78d6d4354889ad7c2ece3227725d,Alaska,chó Alaska Malamute,cais,02 tháng,đã tiêm 2 mũi
179,06d52cea3fa24176b917e728fc066f20,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
180,22c7cfdfe02843daba9850c9c8bb77ca,Alaska,chó Alaska Malamute,đực,02 tháng,chưa
181,2df8c055721d4e0f88a199ed3437400e,H’mong cộc,chó H’mong cộc,cái,2 tháng,đã tiêm 2 mũi
182,36a039f0606947be85e8a4819ee2ff08,Poodle,chó Poodle Tiny,cái Tuổi: 02 tháng,02 tháng,chưa
183,37b4c0afbcdb46b0ad1f159a07642270,Bull Pháp,chó Bull Pháp,đực,02 tháng,đã tiêm 2 mũi
184,62380a1f774646179a3691219d717920,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,đã tiêm 2 mũi
185,6263dc25bdb44befb16451dcd4e05095,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
186,6380fbb409fa487b90384f25b773a73c,Border Collie,chó Border Collie,đực,02 tháng,chưa
187,6db52324fa284a06adad4911d883573c,Alabai,chó chăn cừu Trung Á – Alabai,đực,04 tháng,đã tiêm 2 mũi
188,7eeeee9871aa4972898cccbafcf1e5ce,Schnauzer,Schnauzer (chó ông già),đực,02 tháng,chưa
189,890918793f354daa8d29fd811e53d5aa,Cane Corso,chó Cane Corso Ngao Ý,cái đực,02-03 tháng,chưa
190,8b29180cf06c4899a2ef41f0a4a0349e,Cane Corso,chó Cane Corso Ngao Ý,cái,02 tháng,đã tiêm 2 mũi
191,95990b246d5241b0bf9b418f03f85f92,Cane Corso,chó Cane Corso Ngao Ý,đực,03 tháng,đã tiêm 2 mũi
192,a3babbf295a84bd2a0ca8959a2fbff92,Cane Corso,chó Cane Corso Ngao Ý,cái đực,02-03 tháng,đã tiêm 2 mũi
193,a68f1613b943454ba566f8cf79d30631,Cane Corso,chó Cane Corso Ngao Ý,cái,02 tháng,đã tiêm 2 mũi
194,b623a4be0cc249b3803cb5b40d63b9e2,Cane Corso,chó Cane Corso Ngao Ý,đực,03 tháng,đã tiêm 2 mũi
195,ccff708113694c32bebc87e21fb5dcc9,Akita Inu,chó Akita Inu Nhật Bản,đực giống,trưởng thành trên 1 tuổi,chưa
196,4b39acc91dbe4d759789fcf00e9da87e,Poodle,chó Poodle tiny,01 cái 02 đực,02 tháng,chưa
197,8129639d767349388612ce1b6b9d9907,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
198,cfea5c8ed944487384a484f2127b9a24,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
199,8b2c226e62cc41ecb622c7fd60c5f6e8,Poodle,chó Poodle tiny,đực,02 tháng,chưa
200,9ca80ff5c22f444a949fec5523cdcdc0,Poodle,chó Poodle tiny,đực,02 tháng,chưa
201,f26a02f04cea4c279d0e8a912adb67cd,Poodle,chó Poodle tiny,cái,02 tháng,chưa
202,067dac1f35394e22b7c5ced4650c6c48,Poodle,chó Poodle tiny,01 cái 01 đực,02 tháng,chưa
203,0bcb99d93e3545069a82dfe768cdc3a7,Poodle,chó Poodle tiny,đực,02 tháng,đã tiêm 2 mũi
204,1ad9875a449049f3b624faba5bc7a715,Poodle,chó Poodle tiny,cái,02 tháng,đã tiêm 2 mũi
205,1e30016b784941d58ee5976700832fdc,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,chưa
206,4c21abf4c61d4a62aa206cc000a5be09,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực Tuổi: 02 tháng,02 tháng,chưa
207,549802af4d1446a79a20e0110b2422d7,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực Tuổi: 02 tháng,02 tháng,đã tiêm 2 mũi
208,9f9f17530bb340848333339b6618c403,Poodle,chó Poodle tiny,01 đực,02 tháng,chưa
209,b6f113c10a14407b90d5a5a0712f62e0,Poodle,chó Poodle tiny,01 đực,02 tháng,đã tiêm 2 mũi
210,7be3ee4729ee454397b20e80d00b2029,Poodle,chó Poodle tiny,01 đực,02 tháng,đã tiêm 2 mũi
211,aa1789f4fb864a16a7558def53d52517,Poodle,chó Poodle tiny,03 đực,02 tháng,chưa
212,c0a22e18701e4c1baaf0b696ba5e3a7c,Doberman,chó Doberman,đực,03 tháng,đã tiêm 2 mũi
213,c33666310d5e44acabab2a739a5fa7ed,Akita Inu,chó Akita Inu Nhật Bản,đực giống,04 tháng,chưa
214,044cf4e3577e4649921dde8154ec0bdb,Poodle,chó Poodle tiny,đực,04 tháng,chưa
